Datum;Uhrzeit;Gesamt (Netzlast)[MWh];Residuallast[MWh];Pumpspeicher[MWh]
12.10.2022;00:00;11.821;11.252;192
12.10.2022;00:15;11.777;11.204;286
12.10.2022;00:30;11.641;11.061;512
12.10.2022;00:45;11.534;10.931;634
12.10.2022;01:00;11.382;10.756;810
12.10.2022;01:15;11.299;10.666;1.030
12.10.2022;01:30;11.331;10.714;1.089
12.10.2022;01:45;11.283;10.668;1.122
12.10.2022;02:00;11.153;10.523;1.225
12.10.2022;02:15;11.075;10.428;1.246
12.10.2022;02:30;11.022;10.368;1.292
12.10.2022;02:45;11.038;10.379;975
12.10.2022;03:00;11.141;10.483;1.541
12.10.2022;03:15;11.197;10.552;1.166
12.10.2022;03:30;11.201;10.566;1.322
12.10.2022;03:45;11.205;10.552;1.268
12.10.2022;04:00;11.343;10.684;1.365
12.10.2022;04:15;11.452;10.782;1.082
12.10.2022;04:30;11.600;10.930;1.139
12.10.2022;04:45;11.664;11.015;992
12.10.2022;05:00;12.006;11.393;731
12.10.2022;05:15;12.063;11.461;622
12.10.2022;05:30;12.345;11.716;413
12.10.2022;05:45;12.736;12.103;299
12.10.2022;06:00;13.234;12.602;144
12.10.2022;06:15;13.805;13.163;31
12.10.2022;06:30;14.207;13.549;4
12.10.2022;06:45;14.483;13.798;6
12.10.2022;07:00;14.759;14.066;13
12.10.2022;07:15;15.022;14.331;6
12.10.2022;07:30;15.175;14.469;1
12.10.2022;07:45;15.298;14.517;1
12.10.2022;08:00;15.501;14.541;1
12.10.2022;08:15;15.632;14.423;1
12.10.2022;08:30;15.764;14.236;1
12.10.2022;08:45;15.769;13.831;1
12.10.2022;09:00;15.678;13.288;1
12.10.2022;09:15;15.621;12.765;5
12.10.2022;09:30;15.699;12.371;43
12.10.2022;09:45;16.007;12.227;49
12.10.2022;10:00;15.995;11.795;72
12.10.2022;10:15;15.969;11.372;78
12.10.2022;10:30;16.192;11.276;123
12.10.2022;10:45;16.357;11.188;140
12.10.2022;11:00;16.333;10.930;42
12.10.2022;11:15;16.247;10.635;47
12.10.2022;11:30;16.383;10.533;113
12.10.2022;11:45;16.485;10.444;132
12.10.2022;12:00;16.293;10.062;157
12.10.2022;12:15;16.386;9.995;230
12.10.2022;12:30;16.362;9.855;300
12.10.2022;12:45;16.322;9.744;390
12.10.2022;13:00;16.415;9.800;360
12.10.2022;13:15;16.253;9.656;389
12.10.2022;13:30;16.156;9.599;478
12.10.2022;13:45;16.084;9.623;567
12.10.2022;14:00;16.026;9.735;452
12.10.2022;14:15;15.809;9.718;425
12.10.2022;14:30;15.682;9.710;362
12.10.2022;14:45;15.586;9.827;484
12.10.2022;15:00;15.048;9.521;557
12.10.2022;15:15;15.142;9.882;519
12.10.2022;15:30;15.244;10.307;334
12.10.2022;15:45;15.130;10.543;145
12.10.2022;16:00;15.372;11.218;303
12.10.2022;16:15;15.211;11.528;234
12.10.2022;16:30;15.110;11.892;111
12.10.2022;16:45;15.012;12.270;42
12.10.2022;17:00;15.008;12.721;160
12.10.2022;17:15;15.138;13.289;49
12.10.2022;17:30;15.198;13.735;14
12.10.2022;17:45;15.227;14.079;1
12.10.2022;18:00;15.215;14.243;1
12.10.2022;18:15;15.308;14.390;1
12.10.2022;18:30;15.508;14.552;1
12.10.2022;18:45;15.729;14.708;1
12.10.2022;19:00;15.927;14.807;1
12.10.2022;19:15;15.836;14.610;1
12.10.2022;19:30;15.777;14.465;1
12.10.2022;19:45;15.578;14.174;1
12.10.2022;20:00;15.378;13.882;1
12.10.2022;20:15;15.036;13.429;1
12.10.2022;20:30;14.820;13.087;1
12.10.2022;20:45;14.603;12.766;2
12.10.2022;21:00;14.565;12.614;43
12.10.2022;21:15;14.263;12.190;33
12.10.2022;21:30;14.050;11.866;50
12.10.2022;21:45;14.005;11.769;260
12.10.2022;22:00;13.886;11.590;249
12.10.2022;22:15;13.666;11.381;163
12.10.2022;22:30;13.357;11.046;178
12.10.2022;22:45;13.134;10.774;318
12.10.2022;23:00;12.890;10.501;194
12.10.2022;23:15;12.619;10.164;309
12.10.2022;23:30;12.498;10.007;368
12.10.2022;23:45;12.477;9.934;451
13.10.2022;00:00;12.213;9.693;517
13.10.2022;00:15;12.011;9.461;579
13.10.2022;00:30;12.020;9.405;838
13.10.2022;00:45;11.906;9.261;1.125
13.10.2022;01:00;11.705;9.059;1.449
