STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
       4177;2021081400;    3;  17.9;  92.0;eor
       4177;2021081401;    3;  16.8;  96.0;eor
       4177;2021081402;    3;  16.1;  97.0;eor
       4177;2021081403;    3;  15.5;  97.0;eor
       4177;2021081404;    3;  15.2;  98.0;eor
       4177;2021081405;    3;  15.4;  97.0;eor
       4177;2021081406;    3;  19.2;  82.0;eor
       4177;2021081407;    3;  21.4;  73.0;eor
       4177;2021081408;    3;  23.9;  65.0;eor
       4177;2021081409;    3;  26.1;  58.0;eor
       4177;2021081410;    3;  27.6;  49.0;eor
       4177;2021081411;    3;  28.2;  48.0;eor
       4177;2021081412;    3;  29.1;  45.0;eor
       4177;2021081413;    3;  29.8;  48.0;eor
       4177;2021081414;    3;  30.7;  44.0;eor
       4177;2021081415;    3;  30.5;  45.0;eor
       4177;2021081416;    3;  30.5;  44.0;eor
       4177;2021081417;    3;  30.2;  46.0;eor
       4177;2021081418;    3;  29.1;  51.0;eor
       4177;2021081419;    3;  24.7;  74.0;eor
       4177;2021081420;    3;  22.4;  84.0;eor
       4177;2021081421;    3;  21.0;  90.0;eor
       4177;2021081422;    3;  19.8;  94.0;eor
       4177;2021081423;    3;  18.9;  95.0;eor
       4177;2021081500;    3;  18.3;  95.0;eor
       4177;2021081501;    3;  17.8;  97.0;eor
       4177;2021081502;    3;  17.3;  97.0;eor
       4177;2021081503;    3;  19.0;  85.0;eor
       4177;2021081504;    3;  18.0;  85.0;eor
       4177;2021081505;    3;  18.4;  81.0;eor
       4177;2021081506;    3;  20.0;  70.0;eor
       4177;2021081507;    3;  21.3;  68.0;eor
       4177;2021081508;    3;  23.0;  59.0;eor
       4177;2021081509;    3;  24.6;  57.0;eor
       4177;2021081510;    3;  26.3;  54.0;eor
       4177;2021081511;    3;  27.1;  54.0;eor
       4177;2021081512;    3;  28.0;  52.0;eor
       4177;2021081513;    3;  29.3;  50.0;eor
       4177;2021081514;    3;  29.0;  52.0;eor
       4177;2021081515;    3;  27.9;  56.0;eor
       4177;2021081516;    3;  27.8;  62.0;eor
       4177;2021081517;    3;  25.7;  72.0;eor
       4177;2021081518;    3;  25.3;  72.0;eor
       4177;2021081519;    3;  22.5;  73.0;eor
       4177;2021081520;    3;  21.3;  77.0;eor
       4177;2021081521;    3;  19.9;  84.0;eor
       4177;2021081522;    3;  20.0;  86.0;eor
       4177;2021081523;    3;  19.0;  91.0;eor
       4177;2021081600;    3;  19.0;  94.0;eor
       4177;2021081601;    3;  19.4;  95.0;eor
       4177;2021081602;    3;  20.7;  91.0;eor
       4177;2021081603;    3;  20.6;  89.0;eor
       4177;2021081604;    3;  20.1;  87.0;eor
