p,d,q,P,Q,m,AIC,BIC
1,0,1,1,1,3,7083.78812959377,7110.595006738657
1,0,1,1,1,21,7083.78812959377,7110.595006738657
1,0,1,1,2,3,7083.78812959377,7110.595006738657
1,0,1,1,2,21,7083.78812959377,7110.595006738657
1,0,1,2,1,3,6804.001028170549,6836.169280744413
1,0,1,2,1,21,6804.001028170549,6836.169280744413
1,0,1,2,2,3,6804.001028170549,6836.169280744413
1,0,1,2,2,21,6804.001028170549,6836.169280744413
1,0,1,3,1,3,6786.4831591101,6824.012787112942
1,0,1,3,1,21,6786.4831591101,6824.012787112942
1,0,1,3,2,3,6786.4831591101,6824.012787112942
1,0,1,3,2,21,6786.4831591101,6824.012787112942
1,0,2,1,1,3,6804.001028170563,6836.169280744427
1,0,2,1,1,21,6804.001028170563,6836.169280744427
1,0,2,1,2,3,6804.001028170563,6836.169280744427
1,0,2,1,2,21,6804.001028170563,6836.169280744427
1,0,2,2,1,3,6845.69670084303,6883.226328845872
1,0,2,2,1,21,6845.69670084303,6883.226328845872
1,0,2,2,2,3,6845.69670084303,6883.226328845872
1,0,2,2,2,21,6845.69670084303,6883.226328845872
1,0,2,3,1,3,6635.246139279927,6678.137142711746
1,0,2,3,1,21,6635.246139279927,6678.137142711746
1,0,2,3,2,3,6635.246139279927,6678.137142711746
1,0,2,3,2,21,6635.246139279927,6678.137142711746
1,1,1,1,1,3,6916.164523778803,6953.694151781645
1,1,1,1,1,21,6916.164523778803,6953.694151781645
1,1,1,1,2,3,6916.164523778803,6953.694151781645
1,1,1,1,2,21,6916.164523778803,6953.694151781645
1,1,1,2,1,3,6770.436177691987,6813.3271811238055
1,1,1,2,1,21,6770.436177691987,6813.3271811238055
1,1,1,2,2,3,6770.436177691987,6813.3271811238055
1,1,1,2,2,21,6770.436177691987,6813.3271811238055
1,1,1,3,1,3,6771.8056432849435,6820.058022145739
1,1,1,3,1,21,6771.8056432849435,6820.058022145739
1,1,1,3,2,3,6771.8056432849435,6820.058022145739
1,1,1,3,2,21,6771.8056432849435,6820.058022145739
1,1,2,1,1,3,6770.436177691995,6813.327181123814
1,1,2,1,1,21,6770.436177691995,6813.327181123814
1,1,2,1,2,3,6770.436177691995,6813.327181123814
1,1,2,1,2,21,6770.436177691995,6813.327181123814
1,1,2,2,1,3,6805.355740019127,6853.608118879923
1,1,2,2,1,21,6805.355740019127,6853.608118879923
1,1,2,2,2,3,6805.355740019127,6853.608118879923
1,1,2,2,2,21,6805.355740019127,6853.608118879923
1,1,2,3,1,3,6561.886667400584,6615.500421690357
1,1,2,3,1,21,6561.886667400584,6615.500421690357
1,1,2,3,2,3,6561.886667400584,6615.500421690357
1,1,2,3,2,21,6561.886667400584,6615.500421690357
2,0,1,1,1,3,8048.009671613623,8074.813371128915
2,0,1,1,1,21,8048.009671613623,8074.813371128915
2,0,1,1,2,3,8048.009671613623,8074.813371128915
2,0,1,1,2,21,8048.009671613623,8074.813371128915
2,0,1,2,1,3,7303.872787617447,7336.037227035797
2,0,1,2,1,21,7303.872787617447,7336.037227035797
2,0,1,2,2,3,7303.872787617447,7336.037227035797
2,0,1,2,2,21,7303.872787617447,7336.037227035797
2,0,1,3,1,3,7304.34285273183,7341.8680320532385
2,0,1,3,1,21,7304.34285273183,7341.8680320532385
2,0,1,3,2,3,7304.34285273183,7341.8680320532385
2,0,1,3,2,21,7304.34285273183,7341.8680320532385
2,0,2,1,1,3,7303.872787617125,7336.037227035475
2,0,2,1,1,21,7303.872787617125,7336.037227035475
2,0,2,1,2,3,7303.872787617125,7336.037227035475
2,0,2,1,2,21,7303.872787617125,7336.037227035475
2,0,2,2,1,3,7278.665500670217,7316.190679991625
2,0,2,2,1,21,7278.665500670217,7316.190679991625
2,0,2,2,2,3,7278.665500670217,7316.190679991625
2,0,2,2,2,21,7278.665500670217,7316.190679991625
2,0,2,3,1,3,6837.441606194445,6880.327525418911
2,0,2,3,1,21,6837.441606194445,6880.327525418911
2,0,2,3,2,3,6837.441606194445,6880.327525418911
2,0,2,3,2,21,6837.441606194445,6880.327525418911
2,1,1,1,1,3,6955.5626147216435,6993.087794043052
2,1,1,1,1,21,6955.5626147216435,6993.087794043052
2,1,1,1,2,3,6955.5626147216435,6993.087794043052
2,1,1,1,2,21,6955.5626147216435,6993.087794043052
2,1,1,2,1,3,6817.659119157522,6860.545038381988
2,1,1,2,1,21,6817.659119157522,6860.545038381988
2,1,1,2,2,3,6817.659119157522,6860.545038381988
2,1,1,2,2,21,6817.659119157522,6860.545038381988
2,1,1,3,1,3,6725.196047616452,6773.4427067439765
2,1,1,3,1,21,6725.196047616452,6773.4427067439765
2,1,1,3,2,3,6725.196047616452,6773.4427067439765
2,1,1,3,2,21,6725.196047616452,6773.4427067439765
2,1,2,1,1,3,6817.659118921238,6860.545038145704
2,1,2,1,1,21,6817.659118921238,6860.545038145704
