num_units,batch_size,learning_rate,decrease_after,loss
1,1,0.001,10,0.22818028308921504
1,1,0.001,20,0.2253952225459353
1,1,0.001,30,0.19648478579386752
1,1,0.005,10,0.21827240044005075
1,1,0.005,20,0.19417324248791734
1,1,0.005,30,0.20087384186544507
1,1,0.01,10,0.1881867777160808
1,1,0.01,20,0.1932677344269699
1,1,0.01,30,0.1835443594224997
1,2,0.001,10,0.21491716324158436
1,2,0.001,20,0.22555818225977556
1,2,0.001,30,0.20815109812988425
1,2,0.005,10,0.22573568685999457
1,2,0.005,20,0.21973618134012762
1,2,0.005,30,0.21615202359433444
1,2,0.01,10,0.2215908186615638
1,2,0.01,20,0.22497248818289559
1,2,0.01,30,0.20285206723887966
1,4,0.001,10,0.23918574598600278
1,4,0.001,20,0.2231575498041117
1,4,0.001,30,0.21060856333318748
1,4,0.005,10,0.23019168399414927
1,4,0.005,20,0.22935548930797936
1,4,0.005,30,0.23830158418079592
1,4,0.01,10,0.2179471676079732
1,4,0.01,20,0.20965255543870745
1,4,0.01,30,0.22016272117506783
1,8,0.001,10,0.22875783128558463
1,8,0.001,20,0.23971501836236916
1,8,0.001,30,0.21623889005409097
1,8,0.005,10,0.22524618427708465
1,8,0.005,20,0.23127906502417797
1,8,0.005,30,0.2165231209880901
1,8,0.01,10,0.23430851045644507
1,8,0.01,20,0.22472435798285142
1,8,0.01,30,0.22965609577466856
1,16,0.001,10,0.2436222625228594
1,16,0.001,20,0.23893386013102982
1,16,0.001,30,0.24859491384254312
1,16,0.005,10,0.25902684679571186
1,16,0.005,20,0.2608750181378059
1,16,0.005,30,0.25403171665263624
1,16,0.01,10,0.2639549858165237
1,16,0.01,20,0.2594291354125401
1,16,0.01,30,0.2657834178996536
1,32,0.001,10,0.2662809120034272
1,32,0.001,20,0.2731879522215645
1,32,0.001,30,0.2718144992612443
1,32,0.005,10,0.27060454746462265
1,32,0.005,20,0.28558388296163306
1,32,0.005,30,0.2573352579800588
1,32,0.01,10,0.25871984013971294
1,32,0.01,20,0.24038294126402657
1,32,0.01,30,0.27582876637296855
16,1,0.001,10,0.2094288263557795
